source,target,weight
2,3,11.000000
6,7,9.000000
8,5,9.000000
9,10,8.000000
11,12,8.000000
13,14,8.000000
17,18,7.000000
21,22,7.000000
26,24,6.000000
27,28,6.000000
29,30,6.000000
32,33,6.000000
35,36,6.000000
37,38,6.000000
39,40,6.000000
41,24,5.000000
43,24,5.000000
44,45,5.000000
46,47,5.000000
48,24,5.000000
49,5,5.000000
50,33,5.000000
39,51,5.000000
52,53,5.000000
54,5,5.000000
55,24,5.000000
57,24,5.000000
58,53,5.000000
59,60,5.000000
2,61,5.000000
62,63,5.000000
64,65,5.000000
66,47,5.000000
68,69,5.000000
39,53,5.000000
70,24,5.000000
71,24,5.000000
73,24,5.000000
74,30,5.000000
76,53,5.000000
77,47,5.000000
78,5,5.000000
80,53,5.000000
82,24,4.000000
83,24,4.000000
84,85,4.000000
86,87,4.000000
88,40,4.000000
89,90,4.000000
91,33,4.000000
92,5,4.000000
94,95,4.000000
96,97,4.000000
98,99,4.000000
100,101,4.000000
77,53,4.000000
102,24,4.000000
103,53,4.000000
62,90,4.000000
106,24,4.000000
107,24,4.000000
108,53,4.000000
109,24,4.000000
52,112,4.000000
114,115,4.000000
117,118,4.000000
121,53,4.000000
122,53,4.000000
123,24,4.000000
124,53,4.000000
129,24,4.000000
130,131,4.000000
132,53,4.000000
133,27,4.000000
134,135,4.000000
137,53,4.000000
138,53,4.000000
139,90,4.000000
140,53,4.000000
141,142,4.000000
143,24,4.000000
144,33,4.000000
145,47,4.000000
146,147,4.000000
89,33,4.000000
149,150,4.000000
151,152,4.000000
153,53,4.000000
154,155,4.000000
156,24,4.000000
158,159,4.000000
164,24,4.000000
165,53,4.000000
167,168,4.000000
170,171,4.000000
172,24,4.000000
174,175,4.000000
176,5,4.000000
177,24,4.000000
178,47,4.000000
179,180,4.000000
181,53,4.000000
182,40,4.000000
183,5,4.000000
184,24,4.000000
186,53,3.000000
188,189,3.000000
190,191,3.000000
192,24,3.000000
57,95,3.000000
195,196,3.000000
198,199,3.000000
200,69,3.000000
201,202,3.000000
205,24,3.000000
209,97,3.000000
213,24,3.000000
214,215,3.000000
216,24,3.000000
217,218,3.000000
219,95,3.000000
220,63,3.000000
221,24,3.000000
222,95,3.000000
223,224,3.000000
225,47,3.000000
228,229,3.000000
233,24,3.000000
234,53,3.000000
236,237,3.000000
240,241,3.000000
242,24,3.000000
244,245,3.000000
246,24,3.000000
