source,target,weight
0,1,7.718984
2,3,4.624629
4,5,5.451566
6,7,7.613300
8,9,5.928194
10,11,6.839154
12,13,6.153446
14,15,6.598461
16,17,7.279858
18,19,4.677942
20,21,7.070460
22,23,5.242153
24,25,6.136765
26,27,6.036176
28,29,6.489005
30,31,5.983854
32,33,5.782697
34,35,6.393892
36,37,6.275032
38,39,7.767715
40,41,6.482413
42,43,5.337104
44,45,5.634181
46,47,6.848089
48,49,3.671060
50,45,7.293018
51,52,5.697726
53,54,5.266515
55,56,7.853366
57,58,4.959064
59,60,6.947062
61,23,7.224351
62,63,5.883889
64,65,4.733858
66,67,8.470877
68,69,5.542974
70,71,5.683277
72,73,6.302670
74,75,6.514415
76,77,6.584776
78,79,5.975601
80,78,6.423519
81,82,4.017723
83,84,1.874030
85,86,6.352393
87,23,6.029728
88,89,4.877941
90,91,4.591896
92,93,7.200956
94,95,2.456324
48,96,4.345132
97,98,5.699940
99,100,6.629609
101,102,6.305246
103,104,5.446644
105,106,7.057446
107,108,5.358129
109,110,7.466859
111,112,5.189221
113,114,4.307029
115,116,6.277236
117,118,2.622251
119,95,2.578666
120,121,6.813932
122,123,5.874938
124,125,3.232593
126,127,3.893266
128,129,6.446738
130,131,6.844033
132,133,5.369071
134,135,5.530077
136,137,5.489245
138,139,6.215508
140,141,7.229240
142,143,5.068090
144,145,5.489436
146,147,6.401900
148,106,6.648679
149,150,6.701260
151,152,5.843269
143,153,4.512311
154,73,6.124024
155,156,6.639125
157,158,4.783436
31,159,5.961192
160,26,7.144802
161,162,7.253613
163,164,2.848225
165,166,7.029549
167,168,5.215583
169,170,6.177571
171,172,7.802856
173,174,6.159489
175,89,6.278938
176,177,5.744216
178,179,6.914361
180,181,6.097259
162,182,6.348277
183,184,7.551752
185,186,5.834124
187,188,5.211148
189,190,5.051536
191,192,3.999021
193,194,6.338873
195,196,6.796784
197,198,8.550064
199,200,4.857542
201,202,5.636683
203,204,4.679085
205,206,5.541240
207,208,7.707768
209,4,7.547032
210,211,8.759116
212,213,6.781531
214,117,2.410929
54,215,4.931888
216,217,2.737909
218,219,6.296801
220,221,5.699318
222,223,6.478904
224,225,7.228618
226,227,4.696726
228,229,2.652419
230,231,5.366668
232,233,6.208342
234,235,6.739729
236,237,4.575620
238,239,5.707445
240,241,2.696046
242,243,4.842285
244,245,6.209459
246,247,5.189990
248,249,5.506910
250,251,6.412343
252,253,7.276912
254,110,7.706393
255,256,6.269062
257,258,5.797300
259,260,7.406137
261,262,7.260797
263,264,8.809176
265,266,4.988711
74,267,6.397975
187,268,5.187813
269,270,7.962806
271,272,6.817260
273,274,6.771379
275,276,4.141054
277,278,6.341197
279,280,7.068264
281,282,6.139724
283,284,5.264222
285,5,5.954443
286,287,4.732676
288,179,5.111284
289,290,8.894087
291,170,6.173044
42,108,5.433190
292,293,6.312531
294,42,5.875703
295,296,6.131339
297,298,6.269748
299,200,4.531728
298,300,4.832873
301,276,4.174712
302,217,3.156668
265,303,6.230778
304,305,8.254256
306,45,4.010973
307,308,5.123651
309,310,7.073883
311,312,6.753308
313,314,4.356547
315,316,7.073150
317,234,5.750047
59,248,5.369483
318,319,6.882867
208,320,7.841065
321,322,4.462078
323,324,4.606777
325,326,6.568563
306,44,4.872859
327,328,6.806502
329,330,5.206334
331,316,5.886849
332,333,4.664089
334,335,5.688032
336,337,2.989285
338,339,7.601598
340,341,4.867496
146,258,6.702663
342,343,6.497962
344,345,4.618303
346,347,5.426031
348,103,5.123927
349,350,5.533174
351,352,5.194612
353,354,6.813333
355,356,3.012342
357,358,6.253173
359,360,6.869399
361,362,7.165646
363,364,6.742152
365,366,6.853108
367,368,2.376179
369,370,5.981662
197,371,10.609453
372,373,3.308582
374,79,6.547807
375,376,5.110483
377,17,7.481129
378,379,4.839276
176,122,4.617790
380,381,3.046557
382,383,6.245846
384,385,4.606830
386,387,4.744698
388,389,5.398713
390,391,6.701271
392,393,6.880659
394,395,6.496870
396,397,6.625598
398,204,4.069916
399,400,6.974186
401,402,5.934494
403,404,8.190145
310,405,4.796648
406,373,3.307815
407,288,5.219711
408,409,7.292239
410,411,7.116315
412,413,4.295231
414,415,4.855363
416,417,2.791730
418,419,6.243400
420,421,5.627861
422,423,6.224888
294,424,5.827848
