label,mean_x,mean_y,mean_z,r_x,r_y,r_z,r
0.0,152.693348544,-81.6192459767,101.403296777,96.1679,-169.914078,189.182861,136.734617381
1.0,-564.060441961,-195.285933887,139.288455127,-585.029297,-182.358582,25.896025,116.037289346
2.0,-286.749907825,-120.933054323,79.8185804793,-373.593811,-190.269135,145.248428,128.958987857
3.0,-237.6316121,-502.67347503,365.057830303,-211.354767,-603.887085,312.654541,116.964833011
4.0,-225.643802053,-400.199237833,-454.703284445,-188.963425,-537.649719,-487.428528,145.976115853
5.0,-228.897256563,-467.366001525,86.0864022342,-356.785736,-239.862122,-76.326836,307.394759756
6.0,68.6160326042,-460.199727609,-48.9965326146,-22.860968,-383.30542,9.878851,133.218193119
7.0,-417.56592916,-207.441062155,-492.020401675,-483.409576,-362.984222,-681.364746,253.732814456
8.0,-325.205143323,-370.987930692,119.567648189,-227.039734,-180.233307,-352.004486,518.077264306
9.0,-308.788676909,-355.716192706,-381.919484157,-273.23877,-551.281006,-348.199799,201.609546518
